7
X1: 0,0788669332762915 Y1: 0,7561728395061729 X2: 0,07946091503471704 Y2: 0,757201646090535 Colour: -16711933
X1: 0,07946091503471704 Y1: 0,757201646090535 X2: 0,0800548967931426 Y2: 0,7561728395061729 Colour: -16711933
X1: 0,0800548967931426 Y1: 0,7561728395061729 X2: 0,08124286030999367 Y2: 0,7561728395061729 Colour: -16711933
X1: 0,08124286030999367 Y1: 0,7561728395061729 X2: 0,08183684206841921 Y2: 0,757201646090535 Colour: -16711932
X1: 0,08183684206841921 Y1: 0,757201646090535 X2: 0,08124286030999367 Y2: 0,7582304526748972 Colour: -16711932
X1: 0,08124286030999367 Y1: 0,7582304526748972 X2: 0,08243082382684475 Y2: 0,7582304526748971 Colour: -16711932
X1: 0,08243082382684475 Y1: 0,7582304526748971 X2: 0,0830248055852703 Y2: 0,7592592592592593 Colour: -16711932
X1: 0,0830248055852703 Y1: 0,7592592592592593 X2: 0,08361878734369584 Y2: 0,7582304526748972 Colour: -16711932
X1: 0,08361878734369584 Y1: 0,7582304526748972 X2: 0,08480675086054693 Y2: 0,7582304526748972 Colour: -16711932
X1: 0,08480675086054693 Y1: 0,7582304526748972 X2: 0,08421276910212137 Y2: 0,7572016460905351 Colour: -16711932
X1: 0,08421276910212137 Y1: 0,7572016460905351 X2: 0,08480675086054691 Y2: 0,7561728395061729 Colour: -16711932
X1: 0,08480675086054691 Y1: 0,7561728395061729 X2: 0,085994714377398 Y2: 0,7561728395061729 Colour: -16711931
X1: 0,085994714377398 Y1: 0,7561728395061729 X2: 0,08658869613582354 Y2: 0,757201646090535 Colour: -16711931
X1: 0,08658869613582354 Y1: 0,757201646090535 X2: 0,08718267789424908 Y2: 0,7561728395061729 Colour: -16711931
X1: 0,08718267789424908 Y1: 0,7561728395061729 X2: 0,08837064141110017 Y2: 0,7561728395061729 Colour: -16711931
X1: 0,08837064141110017 Y1: 0,7561728395061729 X2: 0,08777665965267463 Y2: 0,7551440329218108 Colour: -16711931
X1: 0,08777665965267463 Y1: 0,7551440329218108 X2: 0,08837064141110017 Y2: 0,7541152263374485 Colour: -16711931
X1: 0,08837064141110017 Y1: 0,7541152263374485 X2: 0,08718267789424908 Y2: 0,7541152263374487 Colour: -16711931
X1: 0,08718267789424908 Y1: 0,7541152263374487 X2: 0,08658869613582354 Y2: 0,7530864197530864 Colour: -16711931
X1: 0,08658869613582354 Y1: 0,7530864197530864 X2: 0,08718267789424908 Y2: 0,7520576131687243 Colour: -16711930
X1: 0,08718267789424908 Y1: 0,7520576131687243 X2: 0,08837064141110017 Y2: 0,7520576131687243 Colour: -16711930
X1: 0,08837064141110017 Y1: 0,7520576131687243 X2: 0,08777665965267462 Y2: 0,7510288065843622 Colour: -16711930
X1: 0,08777665965267462 Y1: 0,7510288065843622 X2: 0,08837064141110015 Y2: 0,75 Colour: -16711930
X1: 0,08837064141110015 Y1: 0,75 X2: 0,08955860492795123 Y2: 0,75 Colour: -16711930
X1: 0,08955860492795123 Y1: 0,75 X2: 0,09015258668637677 Y2: 0,7510288065843621 Colour: -16711930
X1: 0,09015258668637677 Y1: 0,7510288065843621 X2: 0,0907465684448023 Y2: 0,75 Colour: -16711930
X1: 0,0907465684448023 Y1: 0,75 X2: 0,0919345319616534 Y2: 0,75 Colour: -16711930
X1: 0,0919345319616534 Y1: 0,75 X2: 0,09252851372007893 Y2: 0,7510288065843621 Colour: -16711929
X1: 0,09252851372007893 Y1: 0,7510288065843621 X2: 0,0919345319616534 Y2: 0,7520576131687243 Colour: -16711929
X1: 0,0919345319616534 Y1: 0,7520576131687243 X2: 0,09312249547850449 Y2: 0,7520576131687242 Colour: -16711929
X1: 0,09312249547850449 Y1: 0,7520576131687242 X2: 0,09371647723693002 Y2: 0,7530864197530864 Colour: -16711929
X1: 0,09371647723693002 Y1: 0,7530864197530864 X2: 0,09431045899535556 Y2: 0,7520576131687243 Colour: -16711929
X1: 0,09431045899535556 Y1: 0,7520576131687243 X2: 0,09549842251220665 Y2: 0,7520576131687243 Colour: -16711929
X1: 0,09549842251220665 Y1: 0,7520576131687243 X2: 0,0949044407537811 Y2: 0,7510288065843622 Colour: -16711929
X1: 0,0949044407537811 Y1: 0,7510288065843622 X2: 0,09549842251220664 Y2: 0,75 Colour: -16711929
X1: 0,09549842251220664 Y1: 0,75 X2: 0,09668638602905773 Y2: 0,75 Colour: -16711928
X1: 0,09668638602905773 Y1: 0,75 X2: 0,09728036778748327 Y2: 0,7510288065843621 Colour: -16711928
X1: 0,09728036778748327 Y1: 0,7510288065843621 X2: 0,09787434954590882 Y2: 0,75 Colour: -16711928
X1: 0,09787434954590882 Y1: 0,75 X2: 0,0990623130627599 Y2: 0,75 Colour: -16711928
X1: 0,0990623130627599 Y1: 0,75 X2: 0,09965629482118543 Y2: 0,7510288065843621 Colour: -16711928
X1: 0,09965629482118543 Y1: 0,7510288065843621 X2: 0,0990623130627599 Y2: 0,7520576131687243 Colour: -16711928
X1: 0,0990623130627599 Y1: 0,7520576131687243 X2: 0,10025027657961097 Y2: 0,7520576131687242 Colour: -16711928
X1: 0,10025027657961097 Y1: 0,7520576131687242 X2: 0,10084425833803652 Y2: 0,7530864197530864 Colour: -16711928
X1: 0,10084425833803652 Y1: 0,7530864197530864 X2: 0,10025027657961097 Y2: 0,7541152263374485 Colour: -16711927
X1: 0,10025027657961097 Y1: 0,7541152263374485 X2: 0,09906231306275988 Y2: 0,7541152263374485 Colour: -16711927
X1: 0,09906231306275988 Y1: 0,7541152263374485 X2: 0,09965629482118543 Y2: 0,7551440329218106 Colour: -16711927
X1: 0,09965629482118543 Y1: 0,7551440329218106 X2: 0,09906231306275988 Y2: 0,7561728395061729 Colour: -16711927
X1: 0,09906231306275988 Y1: 0,7561728395061729 X2: 0,10025027657961097 Y2: 0,7561728395061729 Colour: -16711927
X1: 0,10025027657961097 Y1: 0,7561728395061729 X2: 0,10084425833803651 Y2: 0,757201646090535 Colour: -16711927
X1: 0,10084425833803651 Y1: 0,757201646090535 X2: 0,10143824009646206 Y2: 0,7561728395061729 Colour: -16711927
X1: 0,10143824009646206 Y1: 0,7561728395061729 X2: 0,10262620361331315 Y2: 0,7561728395061729 Colour: -16711927
X1: 0,10262620361331315 Y1: 0,7561728395061729 X2: 0,10322018537173869 Y2: 0,757201646090535 Colour: -16711926
X1: 0,10322018537173869 Y1: 0,757201646090535 X2: 0,10262620361331314 Y2: 0,7582304526748972 Colour: -16711926
X1: 0,10262620361331314 Y1: 0,7582304526748972 X2: 0,10381416713016423 Y2: 0,7582304526748971 Colour: -16711926
X1: 0,10381416713016423 Y1: 0,7582304526748971 X2: 0,10440814888858976 Y2: 0,7592592592592593 Colour: -16711926
X1: 0,10440814888858976 Y1: 0,7592592592592593 X2: 0,10381416713016423 Y2: 0,7602880658436214 Colour: -16711926
